"Posture","behavior.label","abs.trunk.vel.x","behavior"
0,"SW",0.150343655380636,"SW"
0,"SW",0.147958644282575,"SW"
0,"SW",0.148588517388492,"SW"
0,"SW",0.155694341803327,"SW"
0,"SW",0.158914392551623,"SW"
0,"SW",0.148383200565006,"SW"
0,"SW",0.186106957405719,"SW"
0,"SW",0.174648750372685,"SW"
0,"SW",0.193827126834616,"SW"
0,"SW",0.205631414720189,"SW"
0,"SW",0.204729511833851,"SW"
0,"SW",0.206223579883534,"SW"
0,"SW",0.215286917559212,"SW"
0,"SW",0.213395969458186,"SW"
0,"SW",0.21787049764236,"SW"
0,"SW",0.221247001289674,"SW"
0,"SW",0.218412469656766,"SW"
0,"SW",0.210607129137324,"SW"
0,"SW",0.220500435544053,"SW"
0,"SW",0.211994549799341,"SW"
0,"SW",0.209611049043324,"SW"
0,"SW",0.215771727236183,"SW"
0,"SW",0.187285436098932,"SW"
0,"SW",0.209008390312305,"SW"
0,"SW",0.210195306372421,"SW"
0,"SW",0.215473963374269,"SW"
0,"SW",0.217085998578595,"SW"
0,"SW",0.221478939931387,"SW"
0,"SW",0.225545662585499,"SW"
0,"SW",0.216756243173012,"SW"
0,"SW",0.221751409681107,"SW"
0,"SW",0.234400820827167,"SW"
0,"NT",0.246994716936683,"SW"
0,"NT",0.259818678756803,"SW"
0,"NT",0.261028720091123,"CL"
0,"NT",0.264977593186216,"CL"
0,"CL",0.274103118044837,"CL"
0,"CL",0.29415861056089,"CL"
0,"CL",0.311211620161682,"CL"
0,"CL",0.315939331762981,"CL"
0,"CL",0.312351996763567,"CL"
0,"CL",0.294033833635114,"CL"
0,"CL",0.309540770477505,"CL"
0,"CL",0.304529040025832,"CL"
0,"CL",0.296738565235694,"CL"
0,"CL",0.318569190122304,"CL"
0,"CL",0.327886860507847,"CL"
0,"CL",0.322634517799279,"CL"
0,"CL",0.320879005418632,"CL"
0,"CL",0.32958981738753,"CL"
0,"CL",0.328894906108205,"CL"
0,"CL",0.331716027688121,"CL"
0,"NT",0.324640157538601,"CL"
0,"NT",0.29854090703891,"CL"
0,"NT",0.312840348567667,"SW"
0,"SW",0.299229638995562,"SW"
0,"SW",0.288009370813902,"SW"
0,"SW",0.299895123082302,"SW"
0,"SW",0.271603377518498,"SW"
0,"SW",0.264530878726722,"SW"
0,"SW",0.259610297408401,"SW"
0,"SW",0.249996011740635,"SW"
0,"SW",0.245642678572975,"SW"
0,"SW",0.248524975707082,"SW"
0,"SW",0.249111042793357,"SW"
0,"SW",0.2275247285289,"SW"
0,"NT",0.245197722522826,"SW"
0,"SW",0.243840311296227,"SW"
0,"SW",0.232786405240091,"SW"
0,"NT",0.252310675725927,"SW"
0,"SW",0.221477213407305,"SW"
0,"SW",0.223405266424982,"SW"
0,"SW",0.215097755242143,"SW"
0,"SW",0.205404140694184,"SW"
0,"SW",0.202438205424944,"SW"
0,"SW",0.20103893164177,"SW"
0,"SW",0.211212832592517,"SW"
0,"SW",0.199162263602161,"SW"
0,"SW",0.193701759996316,"SW"
0,"SW",0.176928795908652,"SW"
0,"NT",0.159334967636829,"NT"
0,"NT",0.162532017857598,"NT"
0,"NT",0.124990282273447,"NT"
0,"NT",0.118744872493707,"NT"
0,"NT",0.121096209700187,"NT"
0,"NT",0.10300526509421,"NT"
0,"NT",0.0916438006560746,"NT"
0,"NT",0.0795461938229974,"NT"
0,"NT",0.0752256724062883,"NT"
0,"NT",0.0728316758080196,"NT"
0,"NT",0.0907299334494731,"NT"
0,"NT",0.094737865029586,"NT"
0,"NT",0.0861472133125681,"NT"
0,"NT",0.0893588820970573,"NT"
0,"NT",0.080409392487299,"NT"
0,"NT",0.0801809425632174,"NT"
0,"NT",0.0845125102375553,"NT"
0,"NT",0.0871767669077242,"NT"
0,"NT",0.109288944867028,"NT"
0,"NT",0.119535711093282,"NT"
0,"SW",0.139034514916183,"SW"
0,"SW",0.136766921062488,"SW"
0,"SW",0.163880512538185,"SW"
0,"SW",0.175285747131449,"SW"
0,"SW",0.186671485697495,"SW"
0,"SW",0.200849518197813,"SW"
0,"SW",0.187925397758686,"SW"
0,"SW",0.192282690461519,"SW"
0,"SW",0.206719194419742,"SW"
0,"SW",0.237741275152806,"SW"
0,"SW",0.254778685687755,"SW"
0,"SW",0.263226882628835,"SW"
0,"SW",0.277161963640401,"SW"
0,"SW",0.27152711492138,"SW"
0,"SW",0.281388945262474,"SW"
0,"SW",0.282858249048057,"SW"
0,"SW",0.274157609107999,"SW"
0,"SW",0.281073070809505,"SW"
0,"SW",0.260005089805483,"SW"
0,"SW",0.25852309982879,"SW"
0,"SW",0.253619137093661,"SW"
0,"SW",0.270581403570292,"SW"
0,"SW",0.290628984882153,"SW"
0,"SW",0.312994249927409,"SW"
0,"SW",0.32424839081586,"SW"
0,"SW",0.290022097797789,"SW"
0,"SW",0.321668997968737,"SW"
0,"SW",0.338047221181825,"SW"
0,"SW",0.336825925614763,"SW"
0,"SW",0.356262913623133,"SW"
0,"SW",0.341076216520385,"SW"
0,"SW",0.340878811636117,"SW"
0,"SW",0.357519686069027,"SW"
0,"CL",0.366822133330183,"SW"
0,"CL",0.37722629522135,"SW"
0,"SW",0.385748189798854,"SW"
0,"NT",0.396908007517532,"SW"
0,"NT",0.366096160860496,"SW"
0,"NT",0.361919334228929,"SW"
0,"NT",0.3371481142091,"SW"
0,"SW",0.314554691228605,"SW"
0,"NT",0.317414243516547,"SW"
0,"SW",0.278499043335174,"SW"
0,"SW",0.264165941442141,"SW"
0,"SW",0.260200916001002,"SW"
0,"SW",0.252007898345912,"SW"
0,"SW",0.242074574423574,"SW"
0,"SW",0.226450779367466,"SW"
0,"SW",0.197740686314471,"SW"
0,"SW",0.18152527312934,"SW"
